Name	Day	Address	Time	Latitude	Longitude
Beaverton	Saturday	9055 Southwest 190th Avenue, Beaverton, OR 97007, United States	10:00 - 12:00	45.4545992	-122.8736324
Corvallis	Saturday	3355 Southwest Hawkeye Avenue, Corvallis, OR 97333, United States	09:00 - 13:00	44.5422072	-123.287176
Cully	Saturday	5808 Northeast Emerson Street, Portland, OR 97218, United States	11:30 - 18:00	45.561358	-122.6029943
Farm - Friday	Friday	25362 High Pass Road, Junction City, OR 97448, United States	16:00 - 20:00	44.219473	-123.34598
Farm - Tuesday	Tuesday	25362 High Pass Road, Junction City, OR 97448, United States	14:00 - 19:00	44.219473	-123.34598
Friendly	Tuesday	235 West 26th Avenue, Eugene, OR 97405, United States	16:30 - 20:30	44.03014049999999	-123.0960205
Hollywood Farmers Market	Saturday	4420 Northeast Hancock Street, Portland, OR 97213, United States	09:00 - 13:00	45.5357326	-122.6175096
Hollywood Winter Drop	Saturday	3615 Northeast Davis Street, Portland, OR 97232, United States	10:30 - 13:00	45.5248666	-122.6258869
Irvington	Saturday	2926 Northeast 10th Avenue, Portland, OR 97212, United States	11:00 - 17:00	45.5441127	-122.6552064
PSU Farmers Market	Saturday	1803 Southwest Park Avenue, Portland, OR 97201, United States	08:30 - 14:00	45.5125608	-122.6855331
Salem	Saturday	2975 D Street Northeast, Salem, OR 97301, United States	10:00 - 13:00	44.94378829999999	-122.9988038
Springfield	Tuesday	2285 El Bonita Place, Springfield, OR 97477, United States	17:00 - 19:00	44.0751982	-122.9919128
St Johns Winter Drop	Saturday	9554 North Buchanan Avenue, Portland, OR 97203, United States	10:30 - 13:00	45.5953865	-122.7396203
W 11th	Tuesday	1122 West 11th Avenue, Eugene, OR 97402, United States	16:30 - 20:30	44.0474857	-123.109999
Woodstock	Saturday	6814 Southeast 50th Avenue, Portland, OR 97206, United States	13:00 - 18:00	45.4736285	-122.6110686